Participant,Task,Task difficulty - Kinesthetic teaching,Task difficulty - Teleoperation,NASA-TLX-Kinesthetic teaching - How mentally demanding was the task?,NASA-TLX-Kinesthetic teaching - How physically demanding was the task?,NASA-TLX-Kinesthetic teaching - How hurried or rushed was the pace of the task?,NASA-TLX-Kinesthetic teaching - How successful were you in accomplishing what you were asked to do?,NASA-TLX-Kinesthetic teaching - How hard did you have to work to accomplish your level of performance?,"NASA-TLX-Kinesthetic teaching - How insecure, discouraged, irritated, stressed and annoyed were you?",NASA-TLX-Teleoperation - How mentally demanding was the task?,NASA-TLX-Teleoperation - How physically demanding was the task?,NASA-TLX-Teleoperation - How hurried or rushed was the pace of the task?,NASA-TLX-Teleoperation - How successful were you in accomplishing what you were asked to do?,NASA-TLX-Teleoperation - How hard did you have to work to accomplish your level of performance?,"NASA-TLX-Teleoperation - How insecure, discouraged, irritated, stressed and annoyed were you?",UX - I felt like I was controlling the movements of the robotic arm during teleoperation,UX - The movements of the robotic arm were in sync with my own movements,UX - The visualisations help me better control the robotic arm during kinesthetic teaching,UX - The visualisations help me better control the robotic arm during teleoperation
1,1,8,8,4,8,5,16,4,8,10,4,4,18,6,4,4,4,1,1
1,2,5,7,3,16,4,16,6,7,6,2,8,18,4,5,8,7,2,2
1,3,7,8,4,10,5,3,2,5,12,3,4,16,3,6,7,7,3,2
2,1,9,6,5,5,7,18,5,3,5,3,5,12,7,3,10,7,8,10
2,2,10,8,2,2,2,20,4,2,10,3,4,13,6,3,10,7,8,9
2,3,2,4,12,7,7,8,12,7,9,3,3,15,7,2,10,9,8,10
3,1,8,7,5,10,7,19,8,2,4,5,7,19,2,3,9,9,7,2
3,2,9,3,1,12,7,19,2,1,14,11,9,10,17,14,6,8,4,9
3,3,8,3,1,3,1,19,1,1,7,11,7,15,12,12,5,7,2,9
4,1,9,7,3,3,10,15,5,2,8,3,10,15,10,10,7,8,10,10
4,2,4,8,10,5,5,15,3,3,10,10,5,5,15,15,6,7,10,10
4,3,7,2,7,10,6,12,8,6,15,15,5,10,20,15,3,7,10,7
5,1,9,8,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9
5,2,8,7,3,1,1,18,3,1,1,1,1,17,4,1,9,10,10,10
5,3,7,7,1,3,3,17,2,2,1,3,2,18,2,1,9,9,10,10
6,1,10,8,2,3,2,20,3,1,6,5,3,18,3,5,8,9,5,5
6,2,6,7,13,12,8,16,13,12,17,18,15,14,17,15,7,7,9,7
6,3,9,10,15,15,16,13,13,16,19,19,14,13,19,17,7,7,8,9
7,1,10,10,1,3,1,20,1,1,2,1,1,1,2,1,10,10,1,2
7,2,8,4,2,5,2,16,14,3,16,3,3,16,16,5,8,8,2,2
7,3,2,5,5,18,2,12,18,5,3,2,2,14,11,3,8,8,2,2
8,1,9,8,12,10,10,10,9,4,8,6,7,7,6,7,5,7,7,8
8,2,10,6,11,3,3,4,4,4,17,7,7,11,8,6,10,7,7,7
8,3,4,2,20,9,13,2,9,9,20,10,10,10,7,18,3,3,3,3
9,1,10,9,1,1,1,20,1,1,1,1,1,20,2,1,10,10,10,10
9,2,9,8,1,1,6,17,3,1,1,4,1,17,4,1,10,10,10,10
9,3,4,7,5,5,1,15,3,4,4,3,1,19,4,1,10,10,10,10
10,1,9,9,4,5,5,19,4,4,6,3,3,17,3,8,9,9,10,10
10,2,8,8,4,5,5,18,4,4,4,3,4,18,4,4,10,10,7,7
10,3,8,3,7,7,6,16,7,9,10,7,6,10,12,10,7,6,6,5
